CardHoldersName,Card_Number,Expiry_Date,ShipToAddress,ShipToAddress1,ShipToCity,ShipToCountry,ShipToCustomerNumber,ShipToEmail,ShipToName,ShipToPhone,ShipToState,ShipToZip,RandZip,first_time_customer,order_dollar_amaout,num_items,age,web_order,total_transactions_to_date,billing_shipping_zip_equal,hour_of_day,Reported_as_fraud,rownum,lookup_id,NewShipToZip
Jenna Brock           ,4716985506861706,222,?,12845  Serbia and Montenegro Ct.                              ,Las Vegas             ,USA,700998,Jackson@aliquam.com        ,Jenna *Brock           ,693-257-7431,NV,95333,94983,Y,557.4,10,47.2,N,39,N,9,N,49940,1,89102
Edan Sears            ,376785061587921,720,?,74546  Panama Ct.                                             ,Las Vegas             ,USA,859498,Cara@netus.net             ,Edan *Sears            ,256-745-9737,NV,71969,71639,N,882.8,8,28.9,Y,97,N,3,N,39791,2,89109
Daphne Guerra         ,373304463385307,219,?,34509 South Grambling Way                                     ,Las Vegas             ,USA,859438,Keiko@Proin.org            ,Daphne *Guerra         ,679-782-1571,NV,10062,9648,N,462.3,9,108.2,Y,5,N,7,N,15885,3,89106
Iliana Chapman        ,340249051260562,920,?,61510  Flagstaff Ct.                                          ,Las Vegas             ,USA,918366,Tyrone@condimentum.gov     ,Iliana *Chapman        ,462-269-7345,NV,53770,53486,N,485.4,9,96.5,Y,1,N,8,N,48704,1,89102
Erasmus Floyd         ,5292113746317806,618,?,65709 North Antarctica Blvd.                                  ,Las Vegas             ,USA,206083,Barclay@feugiat.gov        ,Donna *Gamble          ,776-097-5743,NV,44872,64543,N,994.5,13,26,Y,55,N,20,Y,68516,2,89109
Madeline Mason        ,4556193348760979,923,?,80890  Aruba Ct.                                              ,Las Vegas             ,USA,690446,Christopher@viverra.com    ,Madeline *Mason        ,199-015-9767,NV,94353,94214,N,409.1,13,103,N,56,N,10,N,52959,3,89106
Buffy Farley          ,372356130853530,922,?,4832 North Gardena St.                                        ,Las Vegas             ,USA,859784,Aristotle@tristique.org    ,Buffy *Farley          ,188-883-6033,NV,62656,62238,Y,875.3,5,57.8,Y,99,N,8,Y,3875,1,89102
Sharon Jacobs         ,4539996694949133,819,?,545 West American Samoa Ave.                                  ,Las Vegas             ,USA,637380,Edan@mollis.gov            ,Sharon *Jacobs         ,378-329-7589,NV,85708,85237,Y,30.3,2,45.3,N,52,N,19,N,3431,2,89109
Aristotle Glover      ,5235315839697644,1022,?,30196 East Angola Ave.                                        ,Las Vegas             ,USA,47891,Bruno@natoque.net          ,Aristotle *Glover      ,085-759-3859,NV,61561,61393,N,658.5,12,46.2,Y,94,N,15,N,57611,3,89106
Idona Powell          ,378943077209182,420,?,67846 South Bahamas Ave.                                      ,Las Vegas             ,USA,905039,Baker@mollis.gov           ,David *Mullen          ,533-903-9300,NV,69548,55314,N,98.9,20,73.8,Y,80,N,1,Y,34001,1,89102
Erin Hahn             ,4916309537438202,818,?,11793  Fountain Valley Ln.                                    ,Las Vegas             ,USA,481305,Lani@nulla.com             ,Erin *Hahn             ,498-257-9280,NV,18404,18128,Y,32,2,83.9,Y,5,N,20,N,45897,2,89109
Davis Spence          ,349933954772044,320,?,73740 West Nichols Hills Ct.                                  ,Las Vegas             ,USA,837250,Ariana@ligula.net          ,Davis *Spence          ,099-605-8112,NV,39079,38995,Y,687.5,3,105.3,N,54,N,9,N,85720,3,89106
Lynn Kirk             ,4716509685812379,221,?,95654 North Australia St.                                     ,Las Vegas             ,USA,555917,Otto@ante.com              ,Lynn *Kirk             ,721-044-9371,NV,47556,47214,N,733.9,17,100.4,N,64,N,6,N,31427,1,89102
Nasim Hyde            ,4274201119524515,821,?,122  Japan St.                                                ,Las Vegas             ,USA,684046,Kylan@purus.edu            ,Nasim *Hyde            ,367-308-3943,NV,51544,51381,N,323.4,2,73,Y,86,N,6,N,15752,2,89109
Chiquita Molina       ,4916989690269195,618,?,3090 East Chile Way                                           ,Las Vegas             ,USA,406692,Unity@eget.gov             ,Chiquita *Molina       ,717-806-4682,NV,91337,91238,N,406.1,2,83.6,N,81,N,16,N,58407,3,89106
Vance Ayers           ,5431937246929435,719,?,44323  Swaziland Blvd.                                        ,Las Vegas             ,USA,218798,Kasimir@dis.net            ,Bevis *Rogers          ,558-002-5969,NV,30822,72140,Y,341.8,17,69.9,Y,77,N,12,Y,76103,1,89102
Jayme Lucas           ,4556066156600109,720,?,47583 West Ghana Ave.                                         ,Las Vegas             ,USA,638927,Vanna@aliquet.gov          ,Jayme *Lucas           ,220-393-7720,NV,44911,44447,N,840.7,8,80.2,N,2,N,22,Y,49875,2,89109
Salvador Rich         ,4556671978328688,818,?,69074 East El Salvador Blvd.                                  ,Las Vegas             ,USA,588149,Emma@Suspendisse.net       ,Salvador *Rich         ,670-529-0804,NV,91632,91329,Y,697.9,16,96.8,N,50,N,4,Y,7837,3,89106
Craig Dale            ,4539289471914797,819,?,19458 South Bhutan Blvd.                                      ,Las Vegas             ,USA,765647,Uma@felis.edu              ,Craig *Dale            ,350-642-0709,NV,3654,3432,Y,503.7,20,66.2,N,5,N,8,N,60020,1,89102
Ivory Greene          ,379183216985967,1219,?,70249  Burkina Faso Ct.                                       ,Las Vegas             ,USA,818619,Levi@est.com               ,Ivory *Greene          ,321-065-7718,NV,99016,98538,N,668.5,4,33.4,Y,89,N,7,N,81282,2,89109
Francis Patel         ,4916483446437801,321,?,6463  Singapore Ct.                                           ,Las Vegas             ,USA,540025,Eaton@pede.us              ,Riley *Larsen          ,079-395-1326,NV,20126,10922,Y,344.4,6,89,N,32,N,4,N,59935,3,89106
Armand Barron         ,4929786724150432,1119,?,38881 East Andorra St.                                        ,Las Vegas             ,USA,734449,Harriet@Nunc.gov           ,Armand *Barron         ,163-263-4382,NV,91239,90779,Y,679.4,15,91.9,N,70,N,15,N,47332,1,89102
Dale Willis           ,4262165481693725,1018,?,9180 East Corvallis Ave.                                      ,Las Vegas             ,USA,798384,Xenos@malesuada.us         ,Winifred *Lewis        ,313-581-3461,NV,55124,29751,N,697.1,15,108.4,Y,65,N,12,N,89364,2,89109
Vera Hubbard          ,345168272990549,220,?,58262 North Bahrain Ct.                                       ,Las Vegas             ,USA,859757,Devin@libero.us            ,Vera *Hubbard          ,098-069-8883,NV,29621,29338,N,174.5,17,94,N,17,N,14,N,48554,3,89106
Melanie Alvarado      ,5391931274252479,521,?,35094 West Lesotho St.                                        ,Las Vegas             ,USA,3268,Gabriel@eleifend.gov       ,Charles *Christian     ,134-660-2743,NV,3226,65950,N,937.3,2,26.6,N,75,N,13,N,80626,1,89102
Scott Santiago        ,4485297880702962,221,?,88021  Gibraltar St.                                          ,Las Vegas             ,USA,432868,Dale@ad.org                ,Scott *Santiago        ,657-498-9600,NV,69686,69496,N,451.3,2,43.9,Y,49,N,6,N,10518,2,89109
Nehru Ayala           ,4539180051025841,521,?,89163 North Saint Lucia Way                                   ,Las Vegas             ,USA,355929,Judith@blandit.us          ,Nehru *Ayala           ,539-372-3968,NV,7693,7564,Y,217.5,9,18,N,42,N,15,N,11729,3,89106
Ian Stuart            ,5455881651395529,221,?,84120 South Azusa Way                                         ,Las Vegas             ,USA,326560,Jerome@lectus.edu          ,Ian *Stuart            ,227-014-0970,NV,4012,3689,Y,60.4,10,81.3,Y,84,N,17,N,62113,1,89102
Micah Glass           ,4623272576937324,219,?,50824 West Chattanooga St.                                    ,Las Vegas             ,USA,475041,Heather@mattis.org         ,Micah *Glass           ,135-894-9901,NV,97130,96770,Y,164.1,12,20.5,N,74,N,5,Y,86643,2,89109
Byron Osborne         ,341519615532642,1121,?,95113 South Niue Way                                          ,Las Vegas             ,USA,819223,Nasim@neque.gov            ,Byron *Osborne         ,119-515-1602,NV,33249,32895,N,129.6,19,39.6,N,81,N,11,N,34024,3,89106
Tatiana Cantrell      ,5148748863692204,519,?,93643 North Tuvalu Ave.                                       ,Las Vegas             ,USA,287240,Kay@et.us                  ,Basil *Chase           ,873-947-8325,NV,95505,2101,Y,880.3,4,65.6,Y,89,N,6,Y,72737,1,89102
Sarah Jackson         ,370668262912294,821,?,25991 South Bermuda Way                                       ,Las Vegas             ,USA,812013,Rina@cursus.com            ,Sarah *Jackson         ,795-610-6630,NV,9234,8918,N,499.1,4,81.1,Y,41,N,3,N,86208,2,89109
Judah Pope            ,5465431913502781,1020,?,94927  Lesotho St.                                            ,Las Vegas             ,USA,165953,Stacy@tortor.gov           ,Lewis *Velasquez       ,722-295-6964,NV,41853,63470,Y,174.7,6,89.8,N,74,N,9,N,18766,3,89106
Kaseem Rivera         ,347469612048800,221,?,59907 East Niger Ct.                                          ,Las Vegas             ,USA,819692,Valentine@sem.us           ,Kaseem *Rivera         ,944-015-9045,NV,50240,49793,Y,388.4,6,58.6,N,13,N,9,N,83290,1,89102
Ciaran Summers        ,4556149862724411,920,?,45729 South Nicaragua Ln.                                     ,Las Vegas             ,USA,533543,Madonna@penatibus.edu      ,Ciaran *Summers        ,129-798-5915,NV,73927,73826,N,517.1,13,27.3,N,27,N,7,N,83137,2,89109
Rahim Fitzgerald      ,4485472218320668,519,?,24633  Bolivia Ave.                                           ,Las Vegas             ,USA,724980,Keith@aliquet.org          ,Dennis *Myers          ,609-957-1753,NV,57402,22345,N,332.4,4,65.4,Y,21,N,23,N,96352,3,89106
Jeremy Mcgowan        ,5152826083632573,919,?,42501  Colombia St.                                           ,Las Vegas             ,USA,61977,Ria@nec.us                 ,Orlando *Shaffer       ,101-966-5391,NV,8793,88694,Y,728.2,19,99.7,Y,6,N,19,Y,43701,1,89102
Isadora Wilkins       ,5143673027765560,1119,?,86255 North Egypt Way                                         ,Las Vegas             ,USA,229540,Marcia@Duis.net            ,Isadora *Wilkins       ,582-574-3414,NV,8914,8607,N,317.5,13,60.8,N,59,N,5,N,40484,2,89109
Galvin Williamson     ,4921477454323971,323,?,92496 West Colombia Ct.                                       ,Las Vegas             ,USA,439372,Silas@ultrices.net         ,Galvin *Williamson     ,953-748-2900,NV,80910,80536,Y,120.4,12,102.7,N,62,N,4,N,40150,3,89106
Chava Greer           ,4716174831002993,1121,?,70199 North Jordan Ave.                                       ,Las Vegas             ,USA,562322,Sonia@gravida.org          ,Brynn *Martinez        ,665-992-4710,NV,62368,37656,N,985,15,52.3,N,30,N,15,Y,63209,1,89102
Keegan Wells          ,4485326438495322,918,?,31171 South Libyan Arab Jamahiriya Ave.                       ,Las Vegas             ,USA,618000,Sophia@non.com             ,Silas *Gaines          ,789-745-5238,NV,87080,51866,N,832.4,15,97.6,N,82,N,6,N,77805,2,89109
Addison Cruz          ,5179700171766461,1121,?,30912 North Cambodia St.                                      ,Las Vegas             ,USA,78805,Russell@tempor.us          ,Addison *Cruz          ,271-948-3138,NV,93117,92761,Y,452.9,12,52.1,Y,80,N,5,Y,76663,3,89106
Dawn Gamble           ,4024007168390804,222,?,14844 North Austria Ave.                                      ,Las Vegas             ,USA,561186,Amal@inceptos.net          ,Dawn *Gamble           ,906-264-8775,NV,57389,57173,Y,105.7,15,72.5,Y,65,N,21,N,15337,1,89102
Katelyn Carver        ,4024007125828839,323,?,89820 South Guadeloupe Ln.                                    ,Las Vegas             ,USA,752333,Doris@Integer.org          ,Katelyn *Carver        ,400-390-5889,NV,66450,66345,N,639.7,16,54.2,N,64,N,18,Y,48619,2,89109
Dolan Acevedo         ,4380831271119810,722,?,63173 East Algeria St.                                        ,Las Vegas             ,USA,625259,Axel@aliquet.net           ,Dolan *Acevedo         ,846-516-3541,NV,79375,78962,Y,209.7,3,92.4,N,96,N,14,N,55909,3,89106
Erich Montoya         ,6011616231885945,222,?,72086 North China Blvd.                                       ,Las Vegas             ,USA,958927,Zachary@Vestibulum.gov     ,Erich *Montoya         ,307-704-5974,NV,42186,41823,Y,875.1,14,36.8,N,69,N,0,Y,67902,1,89102
Alika Wiggins         ,370405775193082,422,?,57756 North Aruba Ave.                                        ,Las Vegas             ,USA,914849,Stacey@conubia.edu         ,Alika *Wiggins         ,285-345-2191,NV,70348,70235,Y,726.2,17,68,Y,48,N,21,Y,95851,2,89109
Scott Beard           ,6011228186364809,1120,?,47645  Mauritius Ave.                                         ,Las Vegas             ,USA,983837,Robin@quam.org             ,Kaseem *Franks         ,891-319-2405,NV,80592,82615,Y,706.1,15,39.6,Y,27,N,16,Y,4361,3,89106
Yetta Fitzgerald      ,4916828662870392,1123,?,27191  Angola Ct.                                             ,Las Vegas             ,USA,412619,Paula@gravida.edu          ,Celeste *Estes         ,932-426-3843,NV,29642,4606,Y,427.8,16,65.1,N,14,N,5,Y,59239,1,89102
Thane Rosales         ,348814066560181,1223,?,58411 South Liberia St.                                       ,Las Vegas             ,USA,878953,Orlando@sodales.net        ,Timon *Pope            ,714-442-1418,NV,59257,54076,N,808.5,5,61.4,Y,37,N,3,Y,92983,2,89109
Colleen Colon         ,5582527023678276,721,?,57107 East Fargo Way                                          ,Las Vegas             ,USA,9639,Palmer@consequat.edu       ,Colleen *Colon         ,954-491-6823,NV,53258,52934,N,222.8,9,100.8,N,67,N,13,N,13989,3,89106
Amena Campos          ,5513928888810158,623,?,79519 East Guam Blvd.                                         ,Las Vegas             ,USA,164758,Axel@nascetur.gov          ,Amena *Campos          ,337-227-5118,NV,28431,28331,N,178.4,6,33.5,Y,4,N,6,N,19225,1,89102
Honorato Cain         ,376734206009128,819,?,87606  Chile Blvd.                                            ,Las Vegas             ,USA,915086,Gail@eget.net              ,Honorato *Cain         ,800-879-1532,NV,538,223,Y,661.2,14,20.9,Y,32,N,12,Y,75096,2,89109
Sylvia Manning        ,343797737994316,322,?,8785  Pakistan Way                                            ,Las Vegas             ,USA,920551,Karyn@Suspendisse.org      ,Sonia *Case            ,034-950-7081,NV,64196,97789,N,513.9,11,84.6,Y,70,N,15,N,36593,3,89106
Malachi Frost         ,5189539912422846,818,?,2152  Armenia Way                                             ,Las Vegas             ,USA,297993,Colton@a.edu               ,Jenette *Donovan       ,027-282-1982,NV,73316,36143,Y,438,17,66.3,Y,49,N,6,Y,30141,1,89102
Noah Schwartz         ,4532011535040071,123,?,34367 West Lincoln Ln.                                        ,Las Vegas             ,USA,732082,Libby@diam.org             ,Noah *Schwartz         ,623-521-0384,NV,82844,82427,Y,982.9,10,82.7,Y,89,N,22,Y,8471,2,89109
Shad Leach            ,347497935000182,519,?,91385 West Juneau Ct.                                         ,Las Vegas             ,USA,925389,Winter@ultricies.net       ,Shad *Leach            ,558-192-9643,NV,19721,19639,Y,821.2,3,57.1,Y,35,N,3,Y,10453,3,89106
Theodore Mcfadden     ,5390973308263677,423,?,73390 West Aruba Ave.                                         ,Las Vegas             ,USA,122478,Ciara@luctus.com           ,Madaline *Contreras    ,590-101-9327,NV,85267,15258,N,321.2,2,15.9,Y,19,N,4,Y,75851,1,89102
Leah Alvarado         ,5399327281689989,1122,?,45058 North Benin St.                                         ,Las Vegas             ,USA,135665,Heidi@ipsum.us             ,Lois *Gregory          ,994-035-5100,NV,99770,85523,N,799.5,9,33.2,Y,8,N,14,Y,37044,2,89109
Tiger Allen           ,4556645068740879,423,?,14249 North Beaumont Ln.                                      ,Las Vegas             ,USA,353727,Jaime@enim.gov             ,Tiger *Allen           ,641-858-5198,NV,76582,76228,N,530.1,15,53.1,N,60,N,16,N,77152,3,89106
Kamal Kim             ,5573066776935295,1121,?,7876 North Jordan Ave.                                        ,Las Vegas             ,USA,170189,Steven@aliquet.gov         ,Kamal *Kim             ,751-699-2934,NV,48732,48462,Y,790.7,14,92.2,Y,62,N,2,Y,62913,1,89102
Cameron Benjamin      ,4688625156798253,219,?,77568 North Minot Ln.                                         ,Las Vegas             ,USA,702370,Ignacia@Class.gov          ,Cameron *Benjamin      ,616-091-4629,NV,26774,26510,Y,867,12,96.6,Y,78,N,11,Y,24704,2,89109
Molly Frederick       ,6011219409381928,221,?,44552 North India Blvd.                                       ,Las Vegas             ,USA,986515,Aileen@justo.us            ,Molly *Frederick       ,776-187-4161,NV,71239,70942,N,560.6,16,91.9,Y,27,N,21,N,24774,3,89106
Rose Salinas          ,5516495472329935,1021,?,79753 West Nicaragua St.                                      ,Las Vegas             ,USA,259389,Gemma@ridiculus.edu        ,Rose *Salinas          ,014-250-5325,NV,90437,90338,N,893.7,3,67.8,N,85,N,12,N,80272,1,89102
Patrick Mcdonald      ,5232098098888947,718,?,78432 North Guinea-bissau St.                                 ,Las Vegas             ,USA,68442,Samuel@quis.org            ,Patrick *Mcdonald      ,086-101-9657,NV,67153,66910,Y,110,12,70,N,82,N,19,N,90734,2,89109
Zahir Singleton       ,341314683235165,422,?,20275 East Maldives Blvd.                                     ,Las Vegas             ,USA,917517,Ursula@mi.us               ,Jenna *Mcdaniel        ,594-081-7437,NV,19473,45491,N,904.8,6,78.2,N,57,N,7,N,21296,3,89106
Sierra Serrano        ,5393909434342446,218,?,95859 West Greenland Way                                      ,Las Vegas             ,USA,195630,Leo@condimentum.org        ,Coby *Nieves           ,292-597-2750,NV,19332,61036,N,919.6,12,59.4,Y,40,N,13,Y,53479,1,89102
Kennedy Bullock       ,5418323288429682,422,?,4083 North Colombia Ave.                                      ,Las Vegas             ,USA,107960,Oren@ipsum.gov             ,Kennedy *Bullock       ,639-621-7830,NV,99524,99295,N,761.3,20,87.8,Y,74,N,18,N,58960,2,89109
Farrah Hubbard        ,344500748776246,522,?,56399 North North Platte Ln.                                  ,Las Vegas             ,USA,883309,Ignacia@laoreet.org        ,Arden *Graves          ,633-046-0137,NV,52173,36364,Y,453.3,1,52,N,15,N,8,N,75821,3,89106
Lyle Mcbride          ,4929825028773646,519,?,99841  Reunion Blvd.                                          ,Las Vegas             ,USA,528744,Jana@tristique.com         ,Lyle *Mcbride          ,107-217-1621,NV,27024,26686,Y,192.6,14,84.3,N,15,N,8,Y,84566,1,89102
Penelope Patton       ,4929354211726543,518,?,13535 North Elsmere Ave.                                      ,Las Vegas             ,USA,659118,Alana@cursus.us            ,Penelope *Patton       ,026-037-6109,NV,30240,29999,Y,874.6,4,21.8,Y,49,N,4,Y,87213,2,89109
Dawn Wolfe            ,341679796228731,1122,?,65713 West Bouvet Island Way                                  ,Las Vegas             ,USA,838121,Nicholas@ligula.us         ,Dawn *Wolfe            ,471-291-4146,NV,58916,58618,N,369.1,10,56.3,Y,6,N,7,N,57990,3,89106
Callum Williams       ,5547635123949192,719,?,21829 East Bahamas St.                                        ,Las Vegas             ,USA,156559,Noble@nostra.com           ,Callum *Williams       ,186-819-0549,NV,82998,82713,Y,828.4,5,64.8,N,61,N,11,Y,23147,1,89102
Rose Vang             ,5424561392958086,523,?,77512 West Joplin Ct.                                         ,Las Vegas             ,USA,315087,Rama@Nunc.gov              ,Isabelle *Barry        ,189-187-3015,NV,32437,39554,N,290.4,1,48.6,Y,41,N,5,N,75385,2,89109
Ivor Mcneil           ,5245293369099358,922,?,65855 East Norfolk Island Ave.                                ,Las Vegas             ,USA,81960,Ramona@fringilla.edu       ,Ivor *Mcneil           ,072-761-4712,NV,17152,17078,Y,896,14,79.9,Y,75,N,14,Y,54744,3,89106
Shaeleigh Odonnell    ,4716479269162726,119,?,64026 East Guthrie Blvd.                                      ,Las Vegas             ,USA,782215,Vanna@mus.com              ,Shaeleigh *Odonnell    ,269-321-4385,NV,21360,20936,N,401.3,9,88.9,N,13,N,5,N,4514,1,89102
Akeem Kane            ,4929895255759931,622,?,67571 East Mayotte Ln.                                        ,Las Vegas             ,USA,432695,Yael@eu.gov                ,Bruno *Leon            ,230-228-7204,NV,74726,29024,Y,672.3,11,81.6,N,49,N,17,Y,83972,2,89109
Ahmed Madden          ,4716804106124078,420,?,99975 South Cocos (Keeling) Islands Ave.                      ,Las Vegas             ,USA,433797,Magee@nibh.edu             ,Nissim *Pruitt         ,456-202-9685,NV,27510,76218,Y,863.4,10,64.8,N,38,N,9,Y,93219,3,89106
Florence Padilla      ,376893498020092,419,?,81573  Jamaica Ct.                                            ,Las Vegas             ,USA,825433,Tyrone@ac.com              ,Yen *Pickett           ,634-017-6016,NV,28354,32709,N,656.1,12,12.1,Y,42,N,22,Y,12212,1,89102
Zachary Hammond       ,5107715145972406,419,?,49478 South Denmark Ln.                                       ,Las Vegas             ,USA,20509,Nerea@neque.us             ,Zachary *Hammond       ,708-926-5507,NV,61621,61493,N,210.5,16,98.5,N,13,N,1,Y,82790,2,89109
Angelica Snider       ,348031092913678,322,?,26974  Northern Mariana Islands Ln.                           ,Las Vegas             ,USA,809780,Nevada@luctus.net          ,Angelica *Snider       ,138-365-5503,NV,73816,73445,Y,480.1,19,54.3,Y,25,N,13,Y,543,3,89106
Dante Palmer          ,6011826105656054,319,?,50867  Boise Way                                              ,Las Vegas             ,USA,935729,Cruz@congue.org            ,Dante *Palmer          ,557-082-4720,NV,44607,44547,Y,844.1,4,39.3,Y,36,N,16,Y,40953,1,89102
Nevada Watson         ,5206373073562599,618,?,54009 South Antigua and Barbuda Ct.                           ,Las Vegas             ,USA,186210,Micah@adipiscing.org       ,Rinah *Mcintosh        ,597-216-2312,NV,59832,36808,Y,810.5,10,65.3,Y,51,N,15,Y,65642,2,89109
Vanna Riddle          ,374428847046654,219,?,50347  Eugene Ct.                                             ,Las Vegas             ,USA,843468,Keiko@est.org              ,Vanna *Riddle          ,556-236-9463,NV,96256,95892,Y,132.9,19,25.3,N,77,N,1,Y,60204,3,89106
Chase Horn            ,4916079148471146,421,?,58313 South Albany Ave.                                       ,Las Vegas             ,USA,776846,Jorden@aliquam.com         ,Chase *Horn            ,512-088-7062,NV,6480,6048,Y,564.3,14,30.7,N,37,N,12,Y,65608,1,89102
Remedios Blake        ,4532235709010681,920,?,84886 West Turkmenistan St.                                   ,Las Vegas             ,USA,775572,Sheila@primis.edu          ,Violet *Mcgee          ,689-301-9124,NV,35660,56574,N,523.7,5,12.5,Y,23,N,15,N,73652,2,89109
Brooke Griffin        ,348523347416713,720,?,95516 East Cayman Islands Blvd.                               ,Las Vegas             ,USA,922206,Molly@sapien.us            ,Brooke *Griffin        ,412-118-5251,NV,60343,59844,N,158,5,51.3,Y,20,N,10,N,92839,3,89106
Merrill Peters        ,5421066004630019,918,?,37862 North Luxembourg Blvd.                                  ,Las Vegas             ,USA,229740,Ursula@velit.net           ,Kylie *Hammond         ,600-563-6380,NV,83239,42249,Y,30.8,8,65.5,Y,75,N,6,N,17774,1,89102
Baxter Fields         ,4929517088412682,1220,?,55514 East Bulgaria Ln.                                       ,Las Vegas             ,USA,659112,Whoopi@mus.org             ,Baxter *Fields         ,057-349-4461,NV,78745,78550,N,770.2,17,109,Y,92,N,20,N,89376,2,89109
Helen Bennett         ,5396866449539506,1020,?,20519 East Arvada Blvd.                                       ,Las Vegas             ,USA,244108,Kareem@vehicula.edu        ,Helen *Bennett         ,046-274-7446,NV,96623,96615,N,648,1,42.9,Y,85,N,12,N,32448,3,89106
Lois Cabrera          ,5526679543514728,321,?,23614  Central African Republic St.                           ,Las Vegas             ,USA,59185,Minerva@eu.net             ,Lois *Cabrera          ,873-953-5289,NV,80266,80040,N,895.9,6,65.7,Y,17,N,20,Y,96258,1,89102
Amena Cobb            ,5258438955719653,522,?,33895  Benin Way                                              ,Las Vegas             ,USA,344809,Hayes@Pellentesque.net     ,Dora *Howell           ,403-390-9651,NV,37974,98808,Y,880.6,6,95.2,N,99,N,0,N,12322,2,89109
Amir Cameron          ,5234583778235814,923,?,46070  Gary Blvd.                                             ,Las Vegas             ,USA,281356,Hammett@dis.us             ,Amir *Cameron          ,087-633-7864,NV,25309,25165,Y,336.1,14,44.3,N,8,N,20,N,561,3,89106
Asher Kinney          ,5546227059111053,822,?,73566 South Somalia St.                                       ,Las Vegas             ,USA,205882,Mira@pulvinar.com          ,Dexter *Bernard        ,935-577-9933,NV,26929,93525,Y,373.4,12,18.6,N,9,N,12,Y,36340,1,89102
Kimberly Carr         ,4485474544891370,622,?,59517  Morgan City Ave.                                       ,Las Vegas             ,USA,421037,Neve@semper.gov            ,Cole *Powers           ,739-717-0149,NV,27990,58498,N,920.9,20,44.7,N,53,N,2,Y,28394,2,89109
Desirae Mccray        ,4929643332045811,1121,?,51916 East Belpre Blvd.                                       ,Las Vegas             ,USA,358526,Amity@faucibus.us          ,Desirae *Mccray        ,570-167-0002,NV,60209,59889,N,714.7,2,76.7,N,3,N,10,N,30931,3,89106
Silas Welch           ,348543374627669,420,?,91231 North Saint Kitts and Nevis Ave.                        ,Las Vegas             ,USA,811728,Amaya@Phasellus.us         ,Wyatt *Shepherd        ,024-100-6606,NV,23432,23562,N,942.4,2,89.3,Y,75,N,17,Y,70876,1,89102
William Wooten        ,341094224508219,819,?,61314  Duarte Ave.                                            ,Las Vegas             ,USA,813136,Alan@Ut.gov                ,William *Wooten        ,805-873-3012,NV,90874,90584,Y,790.2,3,67.4,N,71,N,18,Y,68046,2,89109
Levi Bell             ,5199410282654459,723,?,16404 East Bulgaria Ln.                                       ,Las Vegas             ,USA,223362,Quinlan@taciti.gov         ,Arsenio *Henderson     ,048-304-9690,NV,77963,52704,Y,425.4,16,14.8,N,41,N,14,Y,4994,3,89106
Caleb Fuentes         ,4485728863412237,723,?,44781  Serbia and Montenegro Way                              ,Las Vegas             ,USA,405152,Briar@tellus.gov           ,Caleb *Fuentes         ,049-483-6263,NV,36378,35946,Y,485.6,6,27.4,Y,93,N,23,N,89952,1,89102
Brent Wyatt           ,4929444113900633,920,?,83021 North Mozambique Ct.                                    ,Las Vegas             ,USA,745118,Hamilton@ultrices.com      ,Brent *Wyatt           ,619-493-5173,NV,41239,40794,N,326.5,2,71.7,Y,97,N,23,N,14567,2,89109
Lara Austin           ,4716917700409446,519,?,33691  American Samoa Ln.                                     ,Las Vegas             ,USA,662524,Yuli@nisl.org              ,Lara *Austin           ,990-895-2666,NV,61862,61726,Y,929.7,14,13.8,Y,48,N,6,Y,48995,3,89106
Colette Hoover        ,4929853252095551,221,?,21016 South Zambia St.                                        ,Las Vegas             ,USA,347485,Anastasia@elit.org         ,Colette *Hoover        ,180-048-6584,NV,88474,88277,N,626,16,32.1,Y,79,N,3,N,38190,1,89102
Jasmine Harvey        ,4452108664439888,1021,?,84466  American Samoa St.                                     ,Las Vegas             ,USA,764817,Sydney@Cum.edu             ,Macaulay *Nunez        ,327-923-2041,NV,21344,70083,Y,610.7,16,102,N,86,N,6,N,53186,2,89109
Haley Herman          ,379329665082042,920,?,39689 South China Way                                         ,Las Vegas             ,USA,833303,Brynn@Praesent.org         ,Vielka *Rios           ,051-506-7998,NV,14835,234,Y,78.9,15,95.2,N,43,N,1,Y,42811,3,89106
Troy Gallagher        ,4539014699110287,519,?,80546 North Finland Blvd.                                     ,Las Vegas             ,USA,710802,Yardley@placerat.us        ,Melissa *Neal          ,928-727-6776,NV,11368,58223,N,930.6,2,65.7,Y,58,N,6,Y,44305,1,89102
Quail Benjamin        ,5304040735436139,823,?,78530 East Wallis and Futuna Blvd.                            ,Las Vegas             ,USA,108035,Hayley@quis.com            ,Quail *Benjamin        ,472-089-9601,NV,4180,3806,Y,493.3,11,71.1,Y,49,N,15,N,30599,2,89109
Aristotle Lawson      ,5271441523139118,522,?,30956 West Bay City Way                                       ,Las Vegas             ,USA,111671,Kaye@nostra.edu            ,Aristotle *Lawson      ,579-401-0544,NV,81322,81171,Y,492.8,18,15.9,Y,81,N,18,Y,23318,3,89106
Aristotle Hewitt      ,4532374557310578,820,?,70978 West Bremerton St.                                      ,Las Vegas             ,USA,519489,John@metus.com             ,Forrest *Rocha         ,889-451-5224,NV,6659,79778,Y,28.9,19,63.3,Y,76,N,10,N,28392,1,89102
Katell Wagner         ,5288344697760191,521,?,42869 West Georgetown Ct.                                     ,Las Vegas             ,USA,98405,Isaac@at.net               ,Katell *Wagner         ,864-396-2055,NV,78650,78472,Y,816,8,25,N,37,N,11,Y,27248,2,89109
